strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
KY241753	zika	KY241753	2016-08-26	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241753	?	?	?
KY241787	zika	KY241787	2016-09-07	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241787	?	?	?
KY288905	zika	KY288905	1962-11-XX	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY288905	?	?	?
KY325468	zika	KY325468	2016-08-04	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325468	?	?	?
KY325479	zika	KY325479	2016-09-28	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325479	?	?	?
KY325480	zika	KY325480	2016-07-28	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325480	?	?	?
KY325482	zika	KY325482	2016-08-24	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325482	?	?	?
KY348640	zika	KY348640	2016-01-22	South America	Suriname	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY348640	?	?	?
KY415986	zika	KY415986	2014-05-29	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY415986	?	?	?
KY559009	zika	KY559009	2016-04-19	South America	Brazil	 Sao Paulo	 Sao Paulo	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559009	?	?	?
KY559011	zika	KY559011	2016-04-19	South America	Brazil	 Sao Paulo	 Sao Paulo	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559011	?	?	?
KY606271	zika	KY606271	2016-03-05	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY606271	?	?	?
KY631492	zika	KY631492	2016-01-08	South America	Brazil	 Amazonas State	 Amazonas State	ENA	genome	LACEN,AM	https://www.ebi.ac.uk/ena/browser/view/KY631492	?	?	?
