strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
EU545988	zika	EU545988	2007-06-XX	Oceania	Micronesia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EU545988	?	?	?
KF383052	zika	KF383052	2002-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383052	?	?	?
KF383067	zika	KF383067	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383067	?	?	?
KF383071	zika	KF383071	1999-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383071	?	?	?
KJ634273	zika	KJ634273	2014-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KJ634273	?	?	?
KM078944	zika	KM078944	2014-03-30	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078944	?	?	?
KR816333	zika	KR816333	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816333	?	?	?
KR816334	zika	KR816334	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816334	?	?	?
KU758876	zika	KU758876	2015-12-XX	South America	Suriname	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758876	?	?	?
KX856011	zika	KX856011	2016-01-01	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX856011	?	?	?
KX906953	zika	KX906953	2016-08-31	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX906953	?	?	?
KY241705	zika	KY241705	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241705	?	?	?
KY241714	zika	KY241714	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241714	?	?	?
KY241729	zika	KY241729	2016-08-29	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241729	?	?	?
KY241739	zika	KY241739	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241739	?	?	?
KY241750	zika	KY241750	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241750	?	?	?
KY241772	zika	KY241772	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241772	?	?	?
KY317938	zika	KY317938	2016-01-10	South America	Colombia	?	?	ENA	genome	Antibody Systems Inc	https://www.ebi.ac.uk/ena/browser/view/KY317938	?	?	?
KY325466	zika	KY325466	2016-07-28	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325466	?	?	?
KY559001	zika	KY559001	2015-08-20	South America	Brazil	 Alagoas	 Alagoas	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559001	?	?	?
KY765318	zika	KY765318	2016-07-10	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765318	?	?	?
KY785415	zika	KY785415	2016-04-11	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785415	?	?	?
KY785457	zika	KY785457	2016-08-01	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY785457	?	?	?
KY785479	zika	KY785479	2016-03-30	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785479	?	?	?
LC191864	zika	LC191864	2016-04-21	Asia	Japan	Chiba	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC191864	?	?	?
LP833793	zika	LP833793	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833793	?	?	?
LP940731	zika	LP940731	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940731	?	?	?
LP981794	zika	LP981794	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP981794	?	?	?
LQ868297	zika	LQ868297	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868297	?	?	?
LY683289	zika	LY683289	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY683289	?	?	?
MF098767	zika	MF098767	2016-07-25	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098767	?	?	?
MF434522	zika	MF434522	2016-08-29	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF434522	?	?	?
MF574564	zika	MF574564	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574564	?	?	?
MF801402	zika	MF801402	2016-05-26	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801402	?	?	?
MF801406	zika	MF801406	2016-07-07	North America	Mexico	Oaxaca	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801406	?	?	?
MF801410	zika	MF801410	2016-07-05	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801410	?	?	?
MF801416	zika	MF801416	2016-07-XX	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801416	?	?	?
MF801419	zika	MF801419	2016-07-01	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801419	?	?	?
MG645981	zika	MG645981	2006-10-28	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG645981	?	?	?
MH061878	zika	MH061878	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061878	?	?	?
MH061881	zika	MH061881	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061881	?	?	?
MH061906	zika	MH061906	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061906	?	?	?
MH061912	zika	MH061912	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061912	?	?	?
MH061915	zika	MH061915	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061915	?	?	?
MH718915	zika	MH718915	2013-01-10	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH718915	?	?	?
MH882539	zika	MH882539	2016-07-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882539	?	?	?
MH882545	zika	MH882545	2016-05-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882545	?	?	?
MK028555	zika	MK028555	2017-08-03	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK028555	?	?	?
MK216690	zika	MK216690	2016-03-18	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216690	?	?	?
MK216720	zika	MK216720	2016-01-25	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216720	?	?	?
MK237997	zika	MK237997	2017-XX-XX	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK237997	?	?	?
MK269355	zika	MK269355	2016-09-02	North America	United States (USA)	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK269355	?	?	?
MN170710	zika	MN170710	2018-03-07	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN170710	?	?	?
MN755619	zika	MN755619	2013-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755619	?	?	?
MP251941	zika	MP251941	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MP251941	?	?	?
MQ313551	zika	MQ313551	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MQ313551	?	?	?
MW165880	zika	MW165880	2016-10-14	?	?	 Saint Thomas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW165880	?	?	?
OK054375	zika	OK054375	2016-09-15	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054375	?	?	?
OK054389	zika	OK054389	2016-07-29	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054389	?	?	?
OK054406	zika	OK054406	2016-07-28	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054406	?	?	?
OK054427	zika	OK054427	2016-07-28	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054427	?	?	?
OK569755	zika	OK569755	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK569755	?	?	?
OK569760	zika	OK569760	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK569760	?	?	?
OK573248	zika	OK573248	XXXX-XX-XX	North America	United States (USA)	 MD	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK573248	?	?	?
OM936184	zika	OM936184	2019-09-18	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OM936184	?	?	?
ON103519	zika	ON103519	2021-06-07	Asia	India	 Kerala State	?	ENA	genome	ICMR-NIV	https://www.ebi.ac.uk/ena/browser/view/ON103519	?	?	?
ON209935	zika	ON209935	2019-12-XX	Asia	Cambodia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/ON209935	?	?	?
ON419470	zika	ON419470	2021-07-15	Asia	India	Trivandrum	Trivandrum	ENA	genome	ICMR-NIV-PUNE	https://www.ebi.ac.uk/ena/browser/view/ON419470	?	?	?
ON419477	zika	ON419477	2021-12-08	Asia	India	Trivandrum	Trivandrum	ENA	genome	ICMR-NIV-PUNE	https://www.ebi.ac.uk/ena/browser/view/ON419477	?	?	?
OP679000	zika	OP679000	2021-07-20	Asia	India	 Kerala	 Kerala	ENA	genome	Sonia T	https://www.ebi.ac.uk/ena/browser/view/OP679000	?	?	?
OP858742	zika	OP858742	2016-09-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858742	?	?	?
OP858754	zika	OP858754	2017-03-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858754	?	?	?
AY326412	zika	AY326412	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY326412	?	?	?
AY632535	zika	AY632535	XXXX-XX-XX	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY632535	?	?	?
KF383044	zika	KF383044	1990-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383044	?	?	?
KF383051	zika	KF383051	1979-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383051	?	?	?
KF383119	zika	KF383119	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383119	?	?	?
KM078933	zika	KM078933	2014-02-17	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078933	?	?	?
KM078956	zika	KM078956	2014-04-15	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078956	?	?	?
KM212967	zika	KM212967	2013-12-11	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM212967	?	?	?
KR815990	zika	KR815990	2015-XX-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR815990	?	?	?
KT381874	zika	KT381874	2015-XX-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KT381874	?	?	?
KU232291	zika	KU232291	2015-05-25	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU232291	?	?	?
KU365779	zika	KU365779	2015-XX-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU365779	?	?	?
KU497555	zika	KU497555	2015-11-30	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU497555	?	?	?
KU724100	zika	KU724100	2015-11-29	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU724100	?	?	?
KU729217	zika	KU729217	2015-XX-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU729217	?	?	?
KU758868	zika	KU758868	2016-01-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758868	?	?	?
KU761560	zika	KU761560	2016-02-XX	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU761560	?	?	?
KU820898	zika	KU820898	2016-02-14	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU820898	?	?	?
KU926310	zika	KU926310	2016-01-29	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU926310	?	?	?
KU940227	zika	KU940227	2015-07-15	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU940227	?	?	?
KU954085	zika	KU954085	2016-02-XX	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU954085	?	?	?
KU955590	zika	KU955590	2016-02-26	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU955590	?	?	?
KU955591	zika	KU955591	1984-11-20	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU955591	?	?	?
KX059014	zika	KX059014	2014-12-17	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX059014	?	?	?
KX087102	zika	KX087102	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX087102	?	?	?
KX117076	zika	KX117076	2016-02-17	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX117076	?	?	?
KX156775	zika	KX156775	2015-12-11	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX156775	?	?	?
KX162585	zika	KX162585	2015-06-06	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX162585	?	?	?
KX216633	zika	KX216633	2016-XX-XX	Asia	Viet nam	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX216633	?	?	?
KX216636	zika	KX216636	2016-XX-XX	Oceania	Samoa	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX216636	?	?	?
KX421194	zika	KX421194	2016-01-13	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX421194	?	?	?
KX447509	zika	KX447509	2013-12-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX447509	?	?	?
KX447515	zika	KX447515	2013-11-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX447515	?	?	?
KX455425	zika	KX455425	2009-07-06	Asia	Cambodia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX455425	?	?	?
KX601167	zika	KX601167	1966-07-14	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX601167	?	?	?
KX601168	zika	KX601168	2015-12-01	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX601168	?	?	?
KX694532	zika	KX694532	2013-02-12	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX694532	?	?	?
KX811222	zika	KX811222	2016-06-14	South America	Brazil	Fortaleza	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX811222	?	?	?
KX830930	zika	KX830930	2016-03-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX830930	?	?	?
KX838904	zika	KX838904	2016-08-22	North America	United States (USA)	 Florida	 Florida	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX838904	?	?	?
KX867786	zika	KX867786	2016-05-30	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX867786	?	?	?
KX879603	zika	KX879603	2016-04-XX	South America	Ecuador	Esmeraldas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX879603	?	?	?
KX922704	zika	KX922704	2016-08-02	North America	United States (USA)	 Florida	 Florida	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX922704	?	?	?
KY014296	zika	KY014296	2016-04-18	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY014296	?	?	?
KY014307	zika	KY014307	2016-03-28	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY014307	?	?	?
KY014309	zika	KY014309	2016-03-28	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY014309	?	?	?
KY014315	zika	KY014315	2016-06-06	North America	Honduras	Francisco Morazan	?	ENA	genome	Hospital Escuela Universitario, Tegucigalpa,	https://www.ebi.ac.uk/ena/browser/view/KY014315	?	?	?
KY042043	zika	KY042043	2016-06-29	North America	Guatemala	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY042043	?	?	?
KY120349	zika	KY120349	2016-03-03	North America	Mexico	 Tehuantepec Isthmus	 Tehuantepec Isthmus	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY120349	?	?	?
KY126351	zika	KY126351	2016-05-XX	Asia	Taiwan	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY126351	?	?	?
KY241681	zika	KY241681	2016-09-08	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241681	?	?	?
KY241696	zika	KY241696	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241696	?	?	?
KY241700	zika	KY241700	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241700	?	?	?
KY241701	zika	KY241701	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241701	?	?	?
KY241706	zika	KY241706	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241706	?	?	?
KY241717	zika	KY241717	2016-08-29	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241717	?	?	?
KY241732	zika	KY241732	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241732	?	?	?
KY241735	zika	KY241735	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241735	?	?	?
KY241754	zika	KY241754	2016-09-07	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241754	?	?	?
KY241762	zika	KY241762	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241762	?	?	?
KY317939	zika	KY317939	2016-01-06	South America	Colombia	?	?	ENA	genome	Antibody Systems Inc	https://www.ebi.ac.uk/ena/browser/view/KY317939	?	?	?
KY325465	zika	KY325465	2016-09-28	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325465	?	?	?
KY325470	zika	KY325470	2016-08-04	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325470	?	?	?
KY325475	zika	KY325475	2016-10-05	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325475	?	?	?
KY325476	zika	KY325476	2016-10-11	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325476	?	?	?
KY328290	zika	KY328290	2016-11-03	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY328290	?	?	?
KY415987	zika	KY415987	2014-05-29	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY415987	?	?	?
KY441401	zika	KY441401	2016-02-29	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY441401	?	?	?
KY559005	zika	KY559005	2016-04-18	South America	Brazil	 Sao Paulo	 Sao Paulo	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559005	?	?	?
KY559006	zika	KY559006	2016-04-18	South America	Brazil	 Sao Paulo	 Sao Paulo	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559006	?	?	?
KY561344	zika	KY561344	2016-02-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY561344	?	?	?
KY765304	zika	KY765304	2016-09-21	Europe	Spain	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765304	?	?	?
KY765305	zika	KY765305	2016-04-29	Europe	Spain	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765305	?	?	?
KY765319	zika	KY765319	2016-05-29	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765319	?	?	?
KY765326	zika	KY765326	2016-06-30	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765326	?	?	?
KY785411	zika	KY785411	2016-03-30	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785411	?	?	?
KY785423	zika	KY785423	2016-04-05	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785423	?	?	?
KY785425	zika	KY785425	2016-04-04	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785425	?	?	?
KY785426	zika	KY785426	2016-04-04	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785426	?	?	?
KY785432	zika	KY785432	2016-10-12	North America	Jamaica	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785432	?	?	?
KY785435	zika	KY785435	2016-07-07	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785435	?	?	?
KY785445	zika	KY785445	2016-07-19	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY785445	?	?	?
KY785454	zika	KY785454	2016-08-05	?	?	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785454	?	?	?
KY785456	zika	KY785456	2016-04-15	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785456	?	?	?
KY785463	zika	KY785463	2016-04-05	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785463	?	?	?
KY785470	zika	KY785470	2016-06-18	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785470	?	?	?
KY785472	zika	KY785472	2016-09-20	North America	United States (USA)	 FL	 FL	ENA	genome	Miami-Dade Mosquito Control	https://www.ebi.ac.uk/ena/browser/view/KY785472	?	?	?
KY785473	zika	KY785473	2016-06-15	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785473	?	?	?
KY785483	zika	KY785483	2016-04-07	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785483	?	?	?
KY968098	zika	KY968098	2016-02-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY968098	?	?	?
LC218742	zika	LC218742	2016-09-12	Asia	Japan	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC218742	?	?	?
LC707380	zika	LC707380	2021-06-17	Africa	Gabon	 Ndjole	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC707380	?	?	?
LP833788	zika	LP833788	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833788	?	?	?
LP836863	zika	LP836863	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP836863	?	?	?
LP940671	zika	LP940671	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940671	?	?	?
LP940736	zika	LP940736	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940736	?	?	?
MA887897	zika	MA887897	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887897	?	?	?
MF173409	zika	MF173409	2016-11-14	Asia	India	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF173409	?	?	?
MF434519	zika	MF434519	2016-07-22	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF434519	?	?	?
MF574560	zika	MF574560	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574560	?	?	?
MF574562	zika	MF574562	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574562	?	?	?
MF574576	zika	MF574576	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574576	?	?	?
MF574586	zika	MF574586	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574586	?	?	?
MF574588	zika	MF574588	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574588	?	?	?
